id,title,price,condition,location,link
177501567390,Neues AngebotAlte Gitarre Guitar Westerngitarre,"CHF 249,63",Gebraucht,(1041),https://www.ebay.ch/itm/177501567390?itmmeta=01K7XW6RG8N1456XCNPYX8Q53E&hash=item2953eaf99e:g:mNkAAeSwR05o88gQ&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02ugewGqdSSbi08hfAx09ItnSPjlhWu0zJ%2FLdPfhIKs%2Fiuuj3ju3ubgsij64oxmFHTwpXeIY%2FaxnGgJmFCQKUMxJopHSEq9S5P%2FwLdTK3DIFY04Dhw%2FzeAosehxCw16qtkMqctwU%2Flk8Rg6jad0YtACNFDRvVsNnoq%2FRGG2o8j53uFYB26TUyWdslGqWbwYhyILA59SbQiVHUzhVRIpLduEzYhK0AfKhHehZo%2BKGglmjlrdHu4z%2F%2BSyu9jkfMpgU8ALVGZKJyYyZ%2BWHmCnFLeFET%7Ctkp%3ABk9SR6KIm7y_Zg
197783295842,Neues AngebotLR Baggs M1A Aktives Magnetisches Schallloch für Akustikgitarre mit OVP.,"CHF 119,00",Gebraucht,(1456),https://www.ebay.ch/itm/197783295842?itmmeta=01K7XW6RG8CXN23W86GXQHW0AV&hash=item2e0ccd9762:g:GAAAAeSw6M9o85w5&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02udpiG5AK6C7C%2FrFsQtDGYFscltVjmaVRJtxBD3N6qR5RxvV%2BS9TcnuvkjIbwmBcGpgiI6QsrVrY1W8XEHNLvJn0hQ4TrCXf3vCZXGIKl9Pc17CXZtI%2FkYeqm%2B4tlcYANaK6L57%2F8B5pFdxgprNYws2Lka574MKab1waGVyGm5Mvyj5Dc7qVpxHMWsw%2BkX%2BefBgBoppCkw2EL%2FFAmZk1Cvt6g0o05dSqLRJT%2FgoN4u12szAAXXXB4Z%2Bny6SeGzuxslkpZA7QAfiQBULHRaO7hZE%7Ctkp%3ABk9SR6KIm7y_Zg
136468341391,Altes/ Neuheit/ Miniaturinstrument/ Schnapskoffer,"CHF 22,21",Gebraucht·Unbranded,(2412),https://www.ebay.ch/itm/136468341391?itmmeta=01K7XW6RG8F8X3213WA85DFBCH&hash=item1fc625a28f:g:i7oAAeSwtHRoyLbg&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02uB48sDO8cAx%2FXknVSZN2JPKTQNRaQMyTSurV1mwHgwlEQ7p8TjlwL1AW%2BiS%2ByH41TdYmPEzZkfUQwuTYcVmlXNvmpgUoY87iUceazJ3qRSBl%2B3n2oQCUYFznxIBtYpkOCDSN8%2B8JUCtd8q96Mi%2Bs6p6gibYryl22wVHjo%2B5rBBy%2BnKd3wCYBLhObY7TKY385MOOow1JfiAleWLlw52kmwlQ9Yejn%2F33kZUkzJ7hgFLEA%3D%3D%7Ctkp%3ABk9SR6KIm7y_Zg
326781582446,TOP Horace Bucolo Busato Gypsy Jazz Guitar Wappen Shield 40's-50's Manouche,"CHF 1.386,89",Gebraucht,(78),https://www.ebay.ch/itm/326781582446?itmmeta=01K7XW6RG86YHND44V4QA4SD76&hash=item4c15b33c6e:g:ML0AAeSww8Fozm7J&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02u7jQuOiLWkdaqrZd5NeP3sGpGFr%2BQFsmbe3k6QymtfxIVZRB4lOB%2FaeSwQkw0ZOWJskOqJoxZvfJ8sz%2BD9TVbZorYn%2FgMrcG3pMKKm3MD5PRy%2BHo%2BQW0QXgtIhy13GV149Cvwd9q5Gxxl409TqMRJ7MYVdAfQqzJm%2BrdRyPz0RNcpf4RHI%2FX1d4Tl5GxyWvpy5gIH3q3KOcGc8Q1ever5wfy%2FDwDbIyOEElaHNXeFPbBNiGZcIgCdcfnBCHYOS30eR108gq6IgEEiqD64dMZND%7Ctkp%3ABFBMooibvL9m
357769829632,1998 Tacoma Chief Akustikgitarre Made in USA,"CHF 396,64",Gebraucht·Tacoma,(3981),https://www.ebay.ch/itm/357769829632?itmmeta=01K7XW6RG92N3JVCKENC3Z9MWB&hash=item534cbe5d00:g:xp4AAeSwyHFozc7I&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02uaHG%2BmFS%2BMqBAxMcnn1gtsgDCTKqyHz3wkClrlW82ozpdFOnrIiAydwqNAqh%2FnDXj2YfGBct3pjI%2FGpS93Cnbg5OjR2UGEJHGhxxsYykX7ajE4rTGmjo%2BAgMOCRjz1oMpO56e1pkrl22t%2BMRd4vS8afHkwlUGxZF%2BXkMn3GFahwf9G2%2FHtSK5f1rYrtrgIrN2X7xM%2FUioHvaGKi2DJk3eoog%2Bx0bgUHgQ21xOjLmi8TI8TnTRYIWNJ23jqzxeXI3kEtjUj1vPdgDydqGipjzkv%7Ctkp%3ABk9SR6KIm7y_Zg
122566791904,Keelguard Megaware Bootsrumpfschutz Farbe Größe wählbar Länge 4-12 Fuß Kielschutz,"CHF 96,50bisCHF 215,29",Brandneu,(27230),https://www.ebay.ch/itm/122566791904?itmmeta=01K7XW6RG9MHNRDSC0Z2S06JKN&hash=item1c898cd2e0:g:qAAAAOSwi8VZUTgg&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02vy5DCah1KpVxGcCVpxPywfcfPLKAvaXmD7jWJ86gRc8Y450QuOM0yaDX0cgKFEImpJr8b3zD2v9aeHC1KS9LmGz25ailGswTy%2FoxlbRiv2%2FXFoBsCX%2FlvRshWG13AAMAzsrgv%2FT%2FniGlYAeR98ZwVYY%2BstLoaDbt1HDxPDHWbFGTywCyeiJKfkk7GefSzmQbggOMTIP8bnyOs8E44csLdkKJW6Xecaa6QhBGnHOI0zmQ%3D%3D%7Ctkp%3ABk9SR6KIm7y_Zg&var=422991459781
236322252808,Alvarez MD60 Herringbone Dreadnought Akustikgitarre - Natur,"CHF 514,85",Gebraucht·Alvarez,(5171),https://www.ebay.ch/itm/236322252808?itmmeta=01K7XW6RG98XYAYEWQA52Q2QPX&hash=item3705e76808:g:LDAAAeSwQ5lo2qtu&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02tvyeI64de%2FK2M%2FMGKQc5y5ZB%2BsKtE131cvex4X9plYasXUdIeZwLKHuxV5LYgtlgf7b60UBH9TFhi%2Fx7LrnSMLsoxn8DSicPoLsRnCMOplbzavWXvEuDBcqo8nWcAM1EDoQkgb0mHV%2FSorXZl3xM%2Fs%2B4GAcC5K5O4n9HutBWCVuyhWe6bjj%2FpweKjN9dXUPoGYJmGuxG%2FXsNtPLjn83HtOpbgqzpkhYWDWT52uZABp3w%3D%3D%7Ctkp%3ABk9SR6KIm7y_Zg
236328927352,Taylor 414 Akustikgitarre mit Tasche! -LL,"CHF 1.110,61",Gebraucht·Taylor,(2382),https://www.ebay.ch/itm/236328927352?itmmeta=01K7XW6RG9NBMXYA0T05SBEP2V&hash=item37064d4078:g:bcMAAeSw4-ZoyFtG&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02vORDkd%2BmS6yHJPm4qphlGVgSJBiq%2Fmg%2FtJdmWx1OYHZTsTwe9FvuKWmwCovzKRE74ZldWxmP%2Beb2Oq1yi2l67UP9Jle0i95YnIdankF%2FZoZCMk%2BJAHDo3FtuNadzk0Cqp2tWSVFkzCJgmSw4TMJxuVpAJAySh0l%2FEdmIH7sTWKr98i7bn0GQdUUt9gzk68oy0lRMa0eqyuHawLlivFADcO7z08jejcVuK5royMZOYbQy%2ByRv9DOXzgg%2BX%2BTkKRK1gwcfDU%2Fgo9BDQyvStrERy8%7Ctkp%3ABk9SR6KIm7y_Zg
167426075506,tracking num add Fee - 5155150404,"CHF 3,97",Brandneu·Unbranded,(611),https://www.ebay.ch/itm/167426075506?itmmeta=01K7XW6RG9STTK22XHH6WZP6AA&hash=item26fb5f2b72:g:t6AAAOSwwVdnOYyh&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02tPw15iaqtkSt6mwqJbKcf0YIlumTvkczGiukFPF7c16skXaM%2B3E%2BIkVfkrTLZ3lLHcyTEgg0KbjptXHRmEZMhFFd9vTv0OhiUzlV3ObXmxQ2LOcZDeaFMdWLZyglAOPU1VJeU1J%2BJfsj7aq6l0kwQ087oFip%2FOfnCwse67xx6kVIolCVNjrd07c6WSlYpkAQ7QBFQodHwpVnj2d725EELV7w4JpCVHsoh2n0nBxR428vjtEgdedkIA6XF%2BFZQZrn36wfLNQumVIeYztM%2FBwaRo%7Ctkp%3ABk9SR6KIm7y_Zg
133503800112,Honda 35-40-45-50 4Takt 1991-2011 Skeg Guard Protector Ersatz SkegGuard,"CHF 79,32",Brandneu,(27230),https://www.ebay.ch/itm/133503800112?itmmeta=01K7XW6RG9DCW0K9C0PXBFMX91&hash=item1f15725330:g:gpoAAOSwrGFZlcTK&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02uJRaL1OooN8%2BPEBc44KMSety90XGDlOx3kF6OlGrJy059ga%2BbkOZnZEv4AxtDCnbQgp8cRjJa9Yh%2FgHWjhCkMA3E%2BL0yu6v1OZXqpl0vP2fvj%2BRVuPq6GSrEazOcf%2BbJ49ZCWmTiqSFt7wjJ5tQLEjnDYGih4q%2FtrNIAFxtgoBa0zqH17uAG3sxtGy%2BgsXXazeboPJt1n9Vihv7qgZP5HeZWKSXdlFnUIhXUn237mU8w%3D%3D%7Ctkp%3ABk9SR6KIm7y_Zg
